[2025-09-17 21:32:32] iter 0, accuracy: 0.8166792807187203
[2025-09-17 21:32:32] iter 1, accuracy: 0.6441230103988845
[2025-09-17 21:32:32] iter 2, accuracy: 0.6114797695874387
[2025-09-17 21:32:32] iter 3, accuracy: 0.8530689045547573
[2025-09-17 21:32:32] iter 4, accuracy: 0.917112218354454
[2025-09-17 21:32:32] iter 5, accuracy: 0.8684147822477746
[2025-09-17 21:32:32] iter 6, accuracy: 0.7438499869987593
[2025-09-17 21:32:32] iter 7, accuracy: 0.7538054649207282
[2025-09-17 21:32:32] iter 8, accuracy: 0.9612894913696141
[2025-09-17 21:32:32] iter 9, accuracy: 0.8263015752896821
[2025-09-17 21:32:32] iter 10, accuracy: 0.6572026575675316
[2025-09-17 21:32:32] iter 11, accuracy: 0.5913684817055601
[2025-09-17 21:32:32] iter 12, accuracy: 0.6816239898744034
[2025-09-17 21:32:32] iter 13, accuracy: 0.7299183565973134
[2025-09-17 21:32:32] iter 14, accuracy: 0.9201961466580092
[2025-09-17 21:32:32] iter 15, accuracy: 0.8442131831286149
[2025-09-17 21:32:32] iter 16, accuracy: 0.5453635983180213
[2025-09-17 21:32:32] iter 17, accuracy: 0.6733536314788207
[2025-09-17 21:32:32] iter 18, accuracy: 0.787445430195712
[2025-09-17 21:32:32] iter 19, accuracy: 0.7695574817014094
[2025-09-17 21:32:32] iter 20, accuracy: 0.9338584727556797
[2025-09-17 21:32:32] iter 21, accuracy: 0.8019267895673238
[2025-09-17 21:32:32] iter 22, accuracy: 0.6418470192983824
[2025-09-17 21:32:32] iter 23, accuracy: 0.9243838947516091
[2025-09-17 21:32:32] iter 24, accuracy: 0.9275124119988332
[2025-09-17 21:32:33] iter 25, accuracy: 0.9294569225972235
[2025-09-17 21:32:33] iter 26, accuracy: 0.8967078710658241
[2025-09-17 21:32:33] iter 27, accuracy: 0.7669418850464677
[2025-09-17 21:32:33] iter 28, accuracy: 0.9659468304636613
[2025-09-17 21:32:33] iter 29, accuracy: 0.8735771259835428
[2025-09-17 21:32:33] iter 30, accuracy: 0.6410499261676487
[2025-09-17 21:32:33] iter 31, accuracy: 0.721786949022762
[2025-09-17 21:32:33] iter 32, accuracy: 0.8332105280874919
[2025-09-17 21:32:33] iter 33, accuracy: 0.6120314185267212
[2025-09-17 21:32:33] iter 34, accuracy: 0.8970270820606798
[2025-09-17 21:32:33] iter 35, accuracy: 0.7750694914411776
[2025-09-17 21:32:33] iter 36, accuracy: 0.8119799739169382
[2025-09-17 21:32:33] iter 37, accuracy: 0.9285809916248899
[2025-09-17 21:32:33] iter 38, accuracy: 0.6485737005477537
[2025-09-17 21:32:33] iter 39, accuracy: 0.7004608657974551
[2025-09-17 21:32:33] iter 40, accuracy: 0.39983766164047624
[2025-09-17 21:32:33] iter 41, accuracy: 0.7397537988074627
[2025-09-17 21:32:33] iter 42, accuracy: 0.34494557728335407
[2025-09-17 21:32:33] iter 43, accuracy: 0.6799767302206873
[2025-09-17 21:32:33] iter 44, accuracy: 0.5686316176386126
[2025-09-17 21:32:33] iter 45, accuracy: 0.6459142156101497
[2025-09-17 21:32:33] iter 46, accuracy: 0.7250715654443145
[2025-09-17 21:32:33] iter 47, accuracy: 0.8475176529742252
[2025-09-17 21:32:33] iter 48, accuracy: 0.8159781902906684
[2025-09-17 21:32:33] iter 49, accuracy: 0.7278529602143574
[2025-09-17 21:32:33] iter 50, accuracy: 0.8541481541319974
[2025-09-17 21:32:34] iter 51, accuracy: 0.9598461556177379
[2025-09-17 21:32:34] iter 52, accuracy: 0.8465101188014316
[2025-09-17 21:32:34] iter 53, accuracy: 0.8559535297345363
[2025-09-17 21:32:34] iter 54, accuracy: 0.7578732220629855
[2025-09-17 21:32:34] iter 55, accuracy: 0.9438455000813725
[2025-09-17 21:32:34] iter 56, accuracy: 0.9125663368931399
[2025-09-17 21:32:34] iter 57, accuracy: 0.8283107126680929
[2025-09-17 21:32:34] iter 58, accuracy: 0.9043713615735499
[2025-09-17 21:32:34] iter 59, accuracy: 0.8717960602549244
[2025-09-17 21:32:34] iter 60, accuracy: 0.5119633800737167
[2025-09-17 21:32:34] iter 61, accuracy: 0.8708755112237907
[2025-09-17 21:32:34] iter 62, accuracy: 0.8324753063384837
[2025-09-17 21:32:34] iter 63, accuracy: 0.878912344502693
[2025-09-17 21:32:34] iter 64, accuracy: 0.8768761390680632
[2025-09-17 21:32:34] iter 65, accuracy: 0.8636290377459176
[2025-09-17 21:32:34] iter 66, accuracy: 0.8808421037372064
[2025-09-17 21:32:34] iter 67, accuracy: 0.8501247660636304
[2025-09-17 21:32:34] iter 68, accuracy: 0.8354684063093377
[2025-09-17 21:32:34] iter 69, accuracy: 0.8129936372522214
[2025-09-17 21:32:34] iter 70, accuracy: 0.8913208947593636
[2025-09-17 21:32:34] iter 71, accuracy: 0.9415854032953694
[2025-09-17 21:32:34] iter 72, accuracy: 0.6261367883393545
[2025-09-17 21:32:34] iter 73, accuracy: 0.7932716602009348
[2025-09-17 21:32:34] iter 74, accuracy: 0.8158665032148305
[2025-09-17 21:32:34] iter 75, accuracy: 0.9170927052622664
[2025-09-17 21:32:34] iter 76, accuracy: 0.7858326873770196
[2025-09-17 21:32:35] iter 77, accuracy: 0.5841216244175748
[2025-09-17 21:32:35] iter 78, accuracy: 0.6732260464256141
[2025-09-17 21:32:35] iter 79, accuracy: 0.7473752551212562
[2025-09-17 21:32:35] iter 80, accuracy: 0.9028299688012394
[2025-09-17 21:32:35] iter 81, accuracy: 0.9015077400146214
[2025-09-17 21:32:35] iter 82, accuracy: 0.6104676628346986
[2025-09-17 21:32:35] iter 83, accuracy: 0.9265619355268646
[2025-09-17 21:32:35] iter 84, accuracy: 0.8622757544143138
[2025-09-17 21:32:35] iter 85, accuracy: 0.9555095990190512
[2025-09-17 21:32:35] iter 86, accuracy: 0.8765143944974869
[2025-09-17 21:32:35] iter 87, accuracy: 0.8080993190678952
[2025-09-17 21:32:35] iter 88, accuracy: 0.9293071193851022
[2025-09-17 21:32:35] iter 89, accuracy: 0.7716237836500929
[2025-09-17 21:32:35] iter 90, accuracy: 0.8848601778546555
[2025-09-17 21:32:35] iter 91, accuracy: 0.5744605664721313
[2025-09-17 21:32:35] iter 92, accuracy: 0.8177998443810438
[2025-09-17 21:32:35] iter 93, accuracy: 0.9069899642832878
[2025-09-17 21:32:35] iter 94, accuracy: 0.9393435490531528
[2025-09-17 21:32:35] iter 95, accuracy: 0.5162884440224025
[2025-09-17 21:32:35] iter 96, accuracy: 0.9153297335989042
[2025-09-17 21:32:35] iter 97, accuracy: 0.885304757301233
[2025-09-17 21:32:35] iter 98, accuracy: 0.9543328490033138
[2025-09-17 21:32:35] iter 99, accuracy: 0.8089362641650875
[2025-09-17 21:32:35] iter 100, accuracy: 0.8616588480330131
[2025-09-17 21:32:35] iter 101, accuracy: 0.8736039550883041
[2025-09-17 21:32:35] iter 102, accuracy: 0.8240991834022104
[2025-09-17 21:32:35] iter 103, accuracy: 0.8484557598578069
[2025-09-17 21:32:36] iter 104, accuracy: 0.8552198129562216
[2025-09-17 21:32:36] iter 105, accuracy: 0.774385143721147
[2025-09-17 21:32:36] iter 106, accuracy: 0.6833919758984675
[2025-09-17 21:32:36] iter 107, accuracy: 0.6780153280621443
[2025-09-17 21:32:36] iter 108, accuracy: 0.6915525914572002
[2025-09-17 21:32:36] iter 109, accuracy: 0.8025057265212625
[2025-09-17 21:32:36] iter 110, accuracy: 0.789380802018537
[2025-09-17 21:32:36] iter 111, accuracy: 0.6074624552652726
[2025-09-17 21:32:36] iter 112, accuracy: 0.5717769403579968
[2025-09-17 21:32:36] iter 113, accuracy: 0.5158728470736363
[2025-09-17 21:32:36] iter 114, accuracy: 0.6910820209403917
[2025-09-17 21:32:36] iter 115, accuracy: 0.7952447601233062
[2025-09-17 21:32:36] iter 116, accuracy: 0.7563864495852849
